+0.0122070	+2.3681641	+3.9648438	+2.4047852
+0.0146484	+2.3608398	+3.9794922	+2.6147461
+0.0122070	+2.3608398	+3.9770508	+2.6708984
+0.0122070	+2.3608398	+3.9575195	+2.6708984
+0.0170898	+2.3535156	+4.0063477	+2.6879883
+0.0195313	+2.3632813	+3.9648438	+2.7026367
+0.0170898	+2.3559570	+3.9746094	+2.6928711
+0.0195313	+2.3583984	+3.9697266	+2.6904297
+0.0146484	+2.3559570	+3.9965820	+2.7026367
+0.0195313	+2.3657227	+4.0014648	+2.6831055
+0.0146484	+2.3583984	+3.9599609	+2.6708984
+0.0097656	+2.3559570	+3.9697266	+2.6904297
+0.0170898	+2.3632813	+3.9697266	+2.6855469
+0.0170898	+2.3632813	+3.9575195	+2.6879883
+0.0146484	+2.3632813	+3.9672852	+2.6782227
+0.0097656	+2.3632813	+3.9428711	+2.6806641
+0.0170898	+2.3632813	+3.9672852	+2.6904297
+0.0195313	+2.3657227	+3.9770508	+2.6904297
+0.0195313	+2.3657227	+3.9990234	+2.7099609
+0.0146484	+2.3657227	+3.9746094	+2.6953125
+0.0195313	+2.3681641	+3.9794922	+2.6977539
+0.0146484	+2.3730469	+3.9697266	+2.6953125
+0.0170898	+2.3779297	+3.9697266	+2.6855469
+0.0122070	+2.3803711	+3.9575195	+2.6879883
+0.0122070	+2.3876953	+3.9868164	+2.6806641
+0.0097656	+2.3828125	+3.9648438	+2.6928711
+0.0122070	+2.3852539	+3.9599609	+2.6806641
+0.0170898	+2.3925781	+3.9672852	+2.6904297
+0.0122070	+2.3901367	+3.9868164	+2.6879883
+0.0195313	+2.3974609	+3.9575195	+2.6733398
+0.0146484	+2.4047852	+3.9697266	+2.6782227
+0.0146484	+2.4072266	+3.9794922	+2.6831055
+0.0170898	+2.4121094	+3.9672852	+2.6904297
+0.0122070	+2.4267578	+3.9697266	+2.6855469
+0.0146484	+2.4389648	+3.9746094	+2.6733398
+0.0195313	+2.4584961	+3.9624023	+2.6782227
+0.0146484	+2.4829102	+3.9648438	+2.6855469
+0.0146484	+2.5146484	+3.9697266	+2.6879883
+0.0122070	+2.5439453	+3.9648438	+2.6855469
+0.0146484	+2.5854492	+3.9892578	+2.7099609
+0.0146484	+2.6171875	+3.9697266	+2.7026367
+0.0170898	+2.6586914	+3.9672852	+2.6904297
+0.0170898	+2.7001953	+3.9648438	+2.6806641
+0.0097656	+2.7465820	+3.9770508	+2.6806641
+0.0170898	+2.7807617	+3.9624023	+2.6586914
+0.0195313	+2.8247070	+3.9575195	+2.6733398
+0.0146484	+2.8759766	+3.9477539	+2.6733398
+0.0146484	+2.9296875	+3.9404297	+2.6757813
+0.0146484	+2.9907227	+3.9331055	+2.6611328
+0.0097656	+3.0712891	+3.9331055	+2.6660156
+0.0170898	+3.2324219	+3.8647461	+2.6342773
+0.0219727	+3.5180664	+3.8696289	+2.6147461
+0.0170898	+3.7109375	+3.8452148	+2.5976563
+0.0170898	+3.8061523	+3.8012695	+2.5708008
+0.0146484	+3.8818359	+3.7670898	+2.5219727
+0.0146484	+3.9599609	+3.8183594	+2.5463867
+0.0146484	+3.9770508	+3.7426758	+2.5073242
+0.0122070	+3.9648438	+3.7133789	+2.4755859
+0.0170898	+3.9794922	+3.6718750	+2.4511719
+0.0170898	+3.9941406	+3.6914063	+2.4609375
+0.0195313	+4.0063477	+3.6181641	+2.4316406
+0.0195313	+3.9819336	+3.6425781	+2.4194336
+0.0170898	+3.9770508	+3.5937500	+2.3852539
+0.0146484	+3.9892578	+3.5864258	+2.3803711
+0.0244141	+4.0014648	+3.5791016	+2.3583984
+0.0122070	+3.9575195	+3.5620117	+2.3583984
+0.0195313	+3.9379883	+3.5302734	+2.3364258
+0.0146484	+3.9257813	+3.5058594	+2.3046875
+0.0195313	+3.9257813	+3.5034180	+2.3071289
+0.0195313	+3.9038086	+3.5131836	+2.3120117
+0.0146484	+3.8354492	+3.5058594	+2.3364258
+0.0146484	+3.8012695	+3.4863281	+2.2998047
+0.0195313	+3.7939453	+3.4716797	+2.2802734
+0.0146484	+3.7890625	+3.4936523	+2.2802734
+0.0219727	+3.7500000	+3.4912109	+2.2705078
+0.0170898	+3.7255859	+3.4423828	+2.2412109
+0.0146484	+3.7109375	+3.4130859	+2.2216797
+0.0122070	+3.6914063	+3.4008789	+2.2241211
+0.0195313	+3.6523438	+3.4179688	+2.2314453
+0.0097656	+3.6157227	+3.4033203	+2.2143555
+0.0219727	+3.5913086	+3.4179688	+2.2167969
+0.0146484	+3.5815430	+3.4252930	+2.2241211
+0.0170898	+3.5693359	+3.4375000	+2.2436523
+0.0170898	+3.5253906	+3.4472656	+2.2436523
+0.0170898	+3.4887695	+3.4863281	+2.2656250
+0.0219727	+3.4814453	+3.4399414	+2.2485352
+0.0122070	+3.4472656	+3.4472656	+2.2387695
+0.0170898	+3.4301758	+3.4448242	+2.2534180
+0.0170898	+3.4155273	+3.4252930	+2.2436523
+0.0170898	+3.4057617	+3.4204102	+2.2485352
+0.0170898	+3.3642578	+3.4716797	+2.2656250
+0.0073242	+3.3374023	+3.4375000	+2.2558594
+0.0170898	+3.3178711	+3.4399414	+2.2460938
+0.0097656	+3.3081055	+3.4326172	+2.2460938
+0.0097656	+3.2983398	+3.4399414	+2.2583008
+0.0146484	+3.2543945	+3.4301758	+2.2656250
+0.0170898	+3.2153320	+3.4375000	+2.2485352
+0.0146484	+3.1835938	+3.4301758	+2.2485352
+0.0195313	+3.1591797	+3.4277344	+2.2363281
+0.0097656	+3.1250000	+3.4301758	+2.2412109
+0.0195313	+3.0957031	+3.4521484	+2.2412109
+0.0170898	+3.0639648	+3.4301758	+2.2412109
+0.0146484	+3.0419922	+3.4204102	+2.2290039
+0.0146484	+3.0395508	+3.4155273	+2.2265625
+0.0146484	+3.0224609	+3.4301758	+2.2509766
+0.0219727	+2.9809570	+3.3984375	+2.2338867
+0.0146484	+2.9492188	+3.4350586	+2.2290039
