Correcteur: Kp= 0.50 Ki= 0.01 Kd= 0.01
Consigne [pt] : 1000.00
date;Consigne;Mesure;Commande
[ms];[pt];[pt];[pt]
0; 0; 0; 0
1; 1000; 0; 255
4; 1000; 3; 255
8; 1000; 18; 255
11; 1000; 46; 255
14; 1000; 83; 255
17; 1000; 139; 244
20; 1000; 192; 227
23; 1000; 247; 193
26; 1000; 307; 146
29; 1000; 370; 105
32; 1000; 435; 66
35; 1000; 500; 33
38; 1000; 566; -2
41; 1000; 632; -35
44; 1000; 708; -107
47; 1000; 770; -91
50; 1000; 804; -14
53; 1000; 856; -100
56; 1000; 908; -126
59; 1000; 953; -126
62; 1000; 990; -117
65; 1000; 1020; -109
67; 1000; 1043; -97
71; 1000; 1064; -101
74; 1000; 1077; -81
77; 1000; 1085; -68
80; 1000; 1090; -61
83; 1000; 1092; -52
86; 1000; 1093; -49
89; 1000; 1092; -42
93; 1000; 1089; -34
96; 1000; 1086; -32
99; 1000; 1083; -31
102; 1000; 1079; -25
105; 1000; 1072; -12
108; 1000; 1064; -5
111; 1000; 1055; 2
114; 1000; 1046; 7
117; 1000; 1038; 7
120; 1000; 1030; 11
123; 1000; 1023; 12
126; 1000; 1016; 15
129; 1000; 1009; 19
132; 1000; 1003; 18
136; 1000; 997; 21
139; 1000; 991; 24
142; 1000; 985; 27
145; 1000; 981; 23
148; 1000; 977; 25
151; 1000; 974; 23
154; 1000; 972; 20
157; 1000; 970; 21
160; 1000; 969; 19
163; 1000; 968; 19
166; 1000; 967; 20
169; 1000; 967; 16
172; 1000; 968; 12
175; 1000; 968; 16
178; 1000; 968; 16
181; 1000; 969; 12
184; 1000; 969; 15
187; 1000; 970; 11
190; 1000; 970; 15
193; 1000; 971; 11
196; 1000; 971; 14
199; 1000; 972; 10
202; 1000; 972; 14
205; 1000; 973; 10
208; 1000; 973; 13
211; 1000; 974; 9
214; 1000; 974; 13
217; 1000; 974; 13
221; 1000; 975; 9
224; 1000; 975; 12
227; 1000; 975; 12
230; 1000; 976; 8
233; 1000; 976; 12
236; 1000; 976; 12
239; 1000; 976; 12
242; 1000; 976; 12
245; 1000; 976; 12
248; 1000; 976; 12
251; 1000; 976; 12
254; 1000; 976; 12
257; 1000; 976; 12
260; 1000; 976; 12
264; 1000; 976; 12
267; 1000; 976; 12
270; 1000; 976; 12
273; 1000; 976; 12
276; 1000; 976; 12
279; 1000; 976; 12
282; 1000; 976; 12
285; 1000; 976; 12
288; 1000; 976; 12
291; 1000; 976; 12
294; 1000; 976; 12
297; 1000; 976; 12
300; 1000; 976; 12
