Correcteur: Kp= 0.60 Ki= 0.02 Kd= 0.02
Consigne [pt] : 1000.00
date;Consigne;Mesure;Commande
[ms];[pt];[pt];[pt]
0; 0; 0; 0
1; 1000; 0; 255
4; 1000; 3; 255
7; 1000; 19; 255
10; 1000; 47; 255
13; 1000; 86; 255
16; 1000; 124; 255
19; 1000; 177; 140
22; 1000; 235; 72
25; 1000; 295; 23
28; 1000; 355; -12
31; 1000; 415; -48
34; 1000; 475; -84
37; 1000; 533; -105
40; 1000; 585; -97
43; 1000; 639; -142
46; 1000; 678; -66
49; 1000; 710; -38
52; 1000; 739; -36
55; 1000; 765; -31
58; 1000; 781; 25
61; 1000; 806; -49
64; 1000; 831; -64
67; 1000; 854; -64
70; 1000; 879; -93
73; 1000; 897; -57
76; 1000; 911; -39
79; 1000; 923; -33
82; 1000; 934; -32
85; 1000; 945; -39
88; 1000; 954; -31
91; 1000; 962; -29
94; 1000; 969; -27
97; 1000; 975; -24
100; 1000; 978; -5
103; 1000; 980; 0
106; 1000; 981; 5
109; 1000; 983; -2
112; 1000; 984; 3
115; 1000; 985; 3
118; 1000; 986; 2
120; 1000; 987; 1
124; 1000; 988; 1
127; 1000; 988; 8
130; 1000; 989; 0
133; 1000; 989; 7
136; 1000; 989; 7
139; 1000; 989; 7
143; 1000; 989; 7
146; 1000; 989; 7
149; 1000; 989; 7
152; 1000; 989; 7
155; 1000; 989; 7
158; 1000; 989; 7
161; 1000; 989; 7
164; 1000; 989; 7
167; 1000; 989; 7
170; 1000; 989; 7
173; 1000; 989; 7
176; 1000; 989; 7
179; 1000; 989; 7
182; 1000; 989; 7
185; 1000; 989; 7
188; 1000; 989; 7
191; 1000; 989; 7
194; 1000; 989; 7
197; 1000; 989; 7
200; 1000; 989; 7
203; 1000; 989; 7
206; 1000; 989; 7
209; 1000; 989; 7
212; 1000; 989; 7
215; 1000; 989; 7
218; 1000; 989; 7
221; 1000; 989; 7
224; 1000; 989; 7
228; 1000; 989; 7
231; 1000; 989; 7
233; 1000; 989; 7
237; 1000; 989; 7
240; 1000; 989; 7
243; 1000; 989; 7
246; 1000; 989; 7
249; 1000; 989; 7
252; 1000; 989; 7
255; 1000; 989; 7
258; 1000; 989; 7
261; 1000; 989; 7
264; 1000; 989; 7
267; 1000; 989; 7
271; 1000; 989; 7
274; 1000; 989; 7
277; 1000; 989; 7
280; 1000; 989; 7
283; 1000; 989; 7
286; 1000; 989; 7
289; 1000; 989; 7
292; 1000; 989; 7
295; 1000; 989; 7
298; 1000; 989; 7
