Correcteur: Kp= 0.50 Ki= 0.00 Kd= 0.01
Consigne [pt] : 1000.00
date;Consigne;Mesure;Commande
[ms];[pt];[pt];[pt]
0; 0; 0; 0
1; 1000; 0; 255
4; 1000; 1; 255
7; 1000; 11; 255
10; 1000; 34; 255
13; 1000; 69; 255
16; 1000; 114; 255
19; 1000; 166; 243
22; 1000; 223; 198
25; 1000; 283; 158
28; 1000; 358; 70
31; 1000; 424; 67
34; 1000; 491; 31
37; 1000; 558; -2
40; 1000; 624; -32
43; 1000; 690; -65
46; 1000; 753; -86
50; 1000; 813; -106
53; 1000; 877; -151
56; 1000; 923; -114
59; 1000; 961; -107
62; 1000; 991; -95
65; 1000; 1016; -91
68; 1000; 1036; -84
71; 1000; 1052; -79
74; 1000; 1064; -72
77; 1000; 1074; -70
80; 1000; 1080; -60
83; 1000; 1084; -55
86; 1000; 1085; -45
89; 1000; 1085; -42
92; 1000; 1083; -34
95; 1000; 1081; -33
98; 1000; 1078; -29
101; 1000; 1075; -27
104; 1000; 1071; -22
107; 1000; 1067; -20
110; 1000; 1062; -14
113; 1000; 1057; -11
116; 1000; 1053; -13
119; 1000; 1048; -7
122; 1000; 1044; -8
125; 1000; 1039; -2
128; 1000; 1034; 0
131; 1000; 1030; -1
135; 1000; 1026; 0
138; 1000; 1022; 2
141; 1000; 1019; 0
144; 1000; 1015; 5
147; 1000; 1012; 4
150; 1000; 1008; 9
153; 1000; 1005; 7
156; 1000; 1002; 9
159; 1000; 1000; 6
162; 1000; 997; 11
165; 1000; 995; 9
168; 1000; 994; 6
171; 1000; 992; 10
174; 1000; 991; 7
176; 1000; 990; 8
181; 1000; 989; 8
184; 1000; 989; 5
187; 1000; 988; 9
190; 1000; 988; 6
193; 1000; 988; 6
196; 1000; 988; 6
199; 1000; 988; 6
202; 1000; 988; 6
205; 1000; 988; 6
208; 1000; 988; 6
211; 1000; 988; 6
214; 1000; 988; 6
217; 1000; 988; 6
220; 1000; 988; 6
223; 1000; 988; 6
226; 1000; 988; 6
229; 1000; 988; 6
232; 1000; 988; 6
235; 1000; 988; 6
238; 1000; 988; 6
241; 1000; 988; 6
244; 1000; 988; 6
247; 1000; 988; 6
250; 1000; 988; 6
253; 1000; 988; 6
256; 1000; 988; 6
259; 1000; 988; 6
263; 1000; 988; 6
266; 1000; 988; 6
269; 1000; 988; 6
272; 1000; 988; 6
275; 1000; 988; 6
277; 1000; 988; 6
281; 1000; 988; 6
284; 1000; 988; 6
287; 1000; 988; 6
290; 1000; 988; 6
293; 1000; 988; 6
296; 1000; 988; 6
299; 1000; 988; 6
302; 1000; 988; 6
306; 1000; 988; 6
309; 1000; 988; 6
312; 1000; 988; 6
315; 1000; 988; 6
318; 1000; 988; 6
321; 1000; 988; 6
324; 1000; 988; 6
327; 1000; 988; 6
330; 1000; 988; 6
333; 1000; 988; 6
336; 1000; 988; 6
339; 1000; 988; 6
342; 1000; 988; 6
345; 1000; 988; 6
348; 1000; 988; 6
351; 1000; 988; 6
354; 1000; 988; 6
357; 1000; 988; 6
360; 1000; 988; 6
363; 1000; 988; 6
366; 1000; 988; 6
369; 1000; 988; 6
372; 1000; 988; 6
375; 1000; 988; 6
378; 1000; 988; 6
381; 1000; 988; 6
384; 1000; 988; 6
387; 1000; 988; 6
391; 1000; 988; 6
394; 1000; 988; 6
397; 1000; 988; 6
400; 1000; 988; 6
