Correcteur: Kp= 0.50 Ki= 0.00 Kd= 0.00
Consigne [pt] : 1000.00
date;Consigne;Mesure;Commande
[ms];[pt];[pt];[pt]
760; 1000; 976; 12
763; 1000; 991; 4
766; 1000; 1007; -3
769; 1000; 1022; -11
772; 1000; 1037; -18
775; 1000; 1054; -27
779; 1000; 1069; -34
782; 1000; 1082; -41
785; 1000; 1094; -47
788; 1000; 1105; -52
791; 1000; 1114; -57
793; 1000; 1122; -61
797; 1000; 1129; -64
800; 1000; 1133; -66
803; 1000; 1134; -67
806; 1000; 1134; -67
809; 1000; 1132; -66
812; 1000; 1127; -63
815; 1000; 1122; -61
818; 1000; 1115; -57
821; 1000; 1110; -55
824; 1000; 1101; -50
827; 1000; 1089; -44
830; 1000; 1077; -38
833; 1000; 1065; -32
836; 1000; 1053; -26
839; 1000; 1040; -20
842; 1000; 1027; -13
845; 1000; 1014; -7
848; 1000; 999; 0
851; 1000; 986; 7
854; 1000; 973; 13
857; 1000; 961; 19
860; 1000; 949; 25
864; 1000; 937; 31
867; 1000; 927; 36
870; 1000; 917; 41
873; 1000; 906; 47
876; 1000; 899; 50
879; 1000; 893; 53
882; 1000; 889; 55
885; 1000; 886; 57
888; 1000; 885; 57
891; 1000; 885; 57
894; 1000; 887; 56
897; 1000; 890; 55
900; 1000; 895; 52
903; 1000; 901; 49
907; 1000; 908; 46
910; 1000; 915; 42
913; 1000; 924; 38
916; 1000; 933; 33
919; 1000; 945; 27
922; 1000; 955; 22
925; 1000; 966; 17
928; 1000; 977; 11
931; 1000; 987; 6
934; 1000; 998; 1
937; 1000; 1008; -4
940; 1000; 1019; -9
942; 1000; 1027; -13
946; 1000; 1035; -17
949; 1000; 1038; -19
952; 1000; 1044; -22
955; 1000; 1050; -25
958; 1000; 1055; -27
961; 1000; 1059; -29
964; 1000; 1063; -31
967; 1000; 1065; -32
970; 1000; 1067; -33
973; 1000; 1068; -34
976; 1000; 1068; -34
979; 1000; 1068; -34
982; 1000; 1067; -33
985; 1000; 1066; -33
988; 1000; 1064; -32
992; 1000; 1061; -30
995; 1000; 1058; -29
998; 1000; 1055; -27
1001; 1000; 1051; -25
1004; 1000; 1047; -23
1007; 1000; 1043; -21
1010; 1000; 1038; -19
1013; 1000; 1034; -17
1016; 1000; 1029; -14
1019; 1000; 1025; -12
1022; 1000; 1020; -10
1025; 1000; 1016; -8
1028; 1000; 1010; -5
1031; 1000; 1006; -3
1035; 1000; 1002; -1
1038; 1000; 998; 1
1041; 1000; 994; 3
1044; 1000; 990; 5
1047; 1000; 986; 7
1050; 1000; 983; 8
1053; 1000; 979; 10
1056; 1000; 977; 11
1059; 1000; 974; 13
1062; 1000; 972; 14
1065; 1000; 970; 15
1068; 1000; 968; 16
1071; 1000; 967; 16
1074; 1000; 966; 17
1077; 1000; 966; 17
1080; 1000; 966; 17
1083; 1000; 966; 17
1086; 1000; 966; 17
1089; 1000; 966; 17
1092; 1000; 967; 16
1095; 1000; 967; 16
1098; 1000; 968; 16
1101; 1000; 968; 16
1104; 1000; 968; 16
1107; 1000; 969; 15
1110; 1000; 970; 15
1113; 1000; 970; 15
1116; 1000; 971; 14
1120; 1000; 971; 14
1123; 1000; 972; 14
1126; 1000; 973; 13
1129; 1000; 973; 13
1132; 1000; 974; 13
1135; 1000; 975; 12
1138; 1000; 975; 12
1141; 1000; 976; 12
1144; 1000; 976; 12
1147; 1000; 977; 11
1150; 1000; 977; 11
1153; 1000; 977; 11
1156; 1000; 978; 11
1159; 1000; 978; 11
1163; 1000; 978; 11
1166; 1000; 978; 11
1169; 1000; 978; 11
1172; 1000; 978; 11
1175; 1000; 978; 11
1178; 1000; 978; 11
1181; 1000; 978; 11
1184; 1000; 978; 11
1187; 1000; 978; 11
1190; 1000; 978; 11
1193; 1000; 978; 11
1196; 1000; 978; 11
1199; 1000; 978; 11
1202; 1000; 978; 11
1205; 1000; 978; 11
1208; 1000; 978; 11
1211; 1000; 978; 11
1214; 1000; 978; 11
1217; 1000; 978; 11
