 Correcteur: Kp= 0.10 Ki= 0.00 Kd=  0.00
 Consigne [pt] : 1000.00
date;Consigne;Mesure;Commande
[ms];[pt];[pt];[pt]
751; 1000; 1030; -3
754; 1000; 1026; -2
756; 1000; 1022; -2
761; 1000; 1018; -1
764; 1000; 1015; -1
767; 1000; 1011; -1
770; 1000; 1008; 0
773; 1000; 1006; 0
776; 1000; 1003; 0
779; 1000; 1000; 0
782; 1000; 998; 0
785; 1000; 995; 0
788; 1000; 993; 0
791; 1000; 992; 0
794; 1000; 990; 1
797; 1000; 988; 1
800; 1000; 987; 1
803; 1000; 986; 1
806; 1000; 985; 1
809; 1000; 984; 1
812; 1000; 983; 1
815; 1000; 983; 1
818; 1000; 982; 1
821; 1000; 982; 1
824; 1000; 982; 1
827; 1000; 982; 1
830; 1000; 982; 1
833; 1000; 982; 1
836; 1000; 982; 1
839; 1000; 982; 1
842; 1000; 982; 1
846; 1000; 982; 1
849; 1000; 982; 1
852; 1000; 982; 1
855; 1000; 982; 1
858; 1000; 982; 1
861; 1000; 982; 1
864; 1000; 982; 1
867; 1000; 982; 1
870; 1000; 982; 1
873; 1000; 982; 1
876; 1000; 982; 1
879; 1000; 982; 1
882; 1000; 982; 1
885; 1000; 982; 1
889; 1000; 982; 1
892; 1000; 982; 1
895; 1000; 982; 1
898; 1000; 982; 1
901; 1000; 982; 1
904; 1000; 982; 1
907; 1000; 982; 1
910; 1000; 982; 1
913; 1000; 982; 1
916; 1000; 982; 1
919; 1000; 982; 1
922; 1000; 982; 1
925; 1000; 982; 1
928; 1000; 982; 1
931; 1000; 982; 1
934; 1000; 982; 1
937; 1000; 982; 1
940; 1000; 982; 1
943; 1000; 982; 1
946; 1000; 982; 1
949; 1000; 982; 1
952; 1000; 982; 1
955; 1000; 982; 1
958; 1000; 982; 1
961; 1000; 982; 1
964; 1000; 982; 1
967; 1000; 982; 1
970; 1000; 982; 1
974; 1000; 982; 1
977; 1000; 982; 1
980; 1000; 982; 1
983; 1000; 982; 1
986; 1000; 982; 1
989; 1000; 982; 1
992; 1000; 982; 1
995; 1000; 982; 1
998; 1000; 982; 1
1001; 1000; 982; 1
