Correcteur: Kp= 0.25 Ki= 0.00 Kd= 0.00
Consigne [pt] : 1000.00
date;Consigne;Mesure;Commande
[ms];[pt];[pt];[pt]
760; 1000; 1117; -29
763; 1000; 1123; -30
766; 1000; 1127; -31
769; 1000; 1131; -32
772; 1000; 1134; -33
775; 1000; 1137; -34
778; 1000; 1138; -34
782; 1000; 1139; -34
785; 1000; 1139; -34
788; 1000; 1138; -34
791; 1000; 1136; -34
794; 1000; 1134; -33
797; 1000; 1131; -32
800; 1000; 1128; -32
803; 1000; 1125; -31
806; 1000; 1122; -30
809; 1000; 1118; -29
812; 1000; 1113; -28
815; 1000; 1108; -27
818; 1000; 1103; -25
821; 1000; 1097; -24
824; 1000; 1094; -23
827; 1000; 1088; -22
830; 1000; 1081; -20
833; 1000; 1075; -18
836; 1000; 1069; -17
839; 1000; 1063; -15
842; 1000; 1056; -14
845; 1000; 1049; -12
848; 1000; 1042; -10
851; 1000; 1036; -9
854; 1000; 1030; -7
857; 1000; 1024; -6
860; 1000; 1017; -4
863; 1000; 1012; -3
865; 1000; 1006; -1
870; 1000; 999; 0
873; 1000; 994; 1
876; 1000; 988; 3
879; 1000; 983; 4
882; 1000; 979; 5
885; 1000; 974; 6
888; 1000; 969; 7
891; 1000; 964; 9
894; 1000; 960; 10
897; 1000; 956; 11
900; 1000; 953; 11
903; 1000; 950; 12
906; 1000; 947; 13
910; 1000; 946; 13
913; 1000; 947; 13
916; 1000; 948; 13
919; 1000; 949; 12
922; 1000; 950; 12
925; 1000; 951; 12
928; 1000; 951; 12
931; 1000; 952; 12
934; 1000; 956; 11
937; 1000; 960; 10
940; 1000; 963; 9
943; 1000; 967; 8
946; 1000; 971; 7
949; 1000; 975; 6
952; 1000; 977; 5
955; 1000; 981; 4
958; 1000; 984; 4
961; 1000; 987; 3
964; 1000; 990; 2
967; 1000; 993; 1
970; 1000; 995; 1
973; 1000; 998; 0
976; 1000; 1000; 0
979; 1000; 1002; 0
982; 1000; 1004; -1
985; 1000; 1006; -1
988; 1000; 1007; -1
991; 1000; 1008; -2
995; 1000; 1009; -2
998; 1000; 1010; -2
1001; 1000; 1011; -2
1004; 1000; 1011; -2
1007; 1000; 1011; -2
1010; 1000; 1011; -2
1013; 1000; 1011; -2
1016; 1000; 1011; -2
1019; 1000; 1011; -2
1022; 1000; 1011; -2
1025; 1000; 1011; -2
1028; 1000; 1011; -2
1031; 1000; 1011; -2
1034; 1000; 1011; -2
1038; 1000; 1011; -2
1041; 1000; 1011; -2
1044; 1000; 1011; -2
1047; 1000; 1011; -2
1050; 1000; 1011; -2
1053; 1000; 1011; -2
1056; 1000; 1011; -2
1059; 1000; 1011; -2
1062; 1000; 1011; -2
1065; 1000; 1011; -2
1068; 1000; 1011; -2
1071; 1000; 1011; -2
1074; 1000; 1011; -2
1077; 1000; 1011; -2
1080; 1000; 1011; -2
1083; 1000; 1011; -2
1086; 1000; 1011; -2
1089; 1000; 1011; -2
1092; 1000; 1011; -2
1095; 1000; 1011; -2
1098; 1000; 1011; -2
1101; 1000; 1011; -2
1104; 1000; 1011; -2
1107; 1000; 1011; -2
1110; 1000; 1011; -2
1113; 1000; 1011; -2
1116; 1000; 1011; -2
1119; 1000; 1011; -2
1123; 1000; 1011; -2
1126; 1000; 1011; -2
1129; 1000; 1011; -2
1132; 1000; 1011; -2
1135; 1000; 1011; -2
1138; 1000; 1011; -2
1141; 1000; 1011; -2
1144; 1000; 1011; -2
1147; 1000; 1011; -2
1150; 1000; 1011; -2
1153; 1000; 1011; -2
1156; 1000; 1011; -2
1159; 1000; 1011; -2
1162; 1000; 1011; -2
1166; 1000; 1011; -2
1169; 1000; 1011; -2
1172; 1000; 1011; -2
1175; 1000; 1011; -2
1178; 1000; 1011; -2
1181; 1000; 1011; -2
1184; 1000; 1011; -2
1187; 1000; 1011; -2
1190; 1000; 1011; -2
1193; 1000; 1011; -2
1196; 1000; 1011; -2
1199; 1000; 1011; -2
1202; 1000; 1011; -2
1205; 1000; 1011; -2
1208; 1000; 1011; -2
1211; 1000; 1011; -2
1214; 1000; 1011; -2
1217; 1000; 1011; -2
