Correcteur: Kp= 0.40 Ki= 0.01 Kd= 0.02
Consigne [pt] : 1000.00
date;Consigne;Mesure;Commande
[ms];[pt];[pt];[pt]
0; 0; 0; 0
1; 1000; 0; 255
4; 1000; 3; 255
7; 1000; 20; 255
10; 1000; 49; 187
13; 1000; 85; 126
16; 1000; 124; 90
19; 1000; 174; -2
22; 1000; 215; 40
25; 1000; 255; 31
28; 1000; 296; 8
31; 1000; 336; 0
34; 1000; 361; 89
36; 1000; 402; -33
40; 1000; 448; -85
43; 1000; 485; -40
46; 1000; 519; -33
49; 1000; 550; -26
52; 1000; 581; -38
55; 1000; 611; -43
58; 1000; 639; -41
61; 1000; 666; -45
64; 1000; 692; -49
66; 1000; 715; -38
70; 1000; 742; -76
73; 1000; 762; -37
77; 1000; 780; -31
80; 1000; 797; -31
83; 1000; 812; -24
86; 1000; 827; -30
89; 1000; 841; -29
92; 1000; 854; -27
95; 1000; 866; -25
98; 1000; 878; -30
101; 1000; 889; -28
104; 1000; 900; -32
107; 1000; 909; -23
110; 1000; 917; -19
113; 1000; 925; -22
116; 1000; 932; -18
119; 1000; 936; 0
122; 1000; 942; -16
125; 1000; 949; -25
128; 1000; 954; -14
131; 1000; 959; -16
134; 1000; 963; -11
137; 1000; 967; -12
140; 1000; 971; -14
143; 1000; 974; -9
146; 1000; 977; -10
149; 1000; 979; -4
152; 1000; 979; 8
155; 1000; 979; 8
158; 1000; 978; 15
162; 1000; 978; 9
165; 1000; 977; 16
168; 1000; 977; 9
171; 1000; 977; 9
174; 1000; 977; 9
177; 1000; 977; 9
180; 1000; 977; 9
183; 1000; 977; 9
186; 1000; 977; 9
189; 1000; 977; 9
192; 1000; 977; 9
195; 1000; 977; 9
198; 1000; 977; 9
201; 1000; 977; 9
205; 1000; 977; 9
208; 1000; 977; 9
211; 1000; 977; 9
214; 1000; 977; 9
217; 1000; 977; 9
220; 1000; 977; 9
223; 1000; 977; 9
226; 1000; 977; 9
229; 1000; 977; 9
232; 1000; 977; 9
235; 1000; 977; 9
238; 1000; 977; 9
241; 1000; 977; 9
244; 1000; 977; 9
247; 1000; 977; 9
250; 1000; 977; 9
253; 1000; 977; 9
256; 1000; 977; 9
259; 1000; 977; 9
262; 1000; 977; 9
265; 1000; 977; 9
268; 1000; 977; 9
271; 1000; 977; 9
274; 1000; 977; 9
277; 1000; 977; 9
280; 1000; 977; 9
283; 1000; 977; 9
286; 1000; 977; 9
290; 1000; 977; 9
293; 1000; 977; 9
296; 1000; 977; 9
299; 1000; 977; 9
